,DISPLAY_AIRPORT_NAME,NAME,ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME
74,Kent County,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",11986,"Grand Rapids, MI"
75,William P Hobby,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",12191,"Houston, TX"
76,Reno/Tahoe International,"RENO AIRPORT, NV US",14570,"Reno, NV"
77,San Diego International Lindbergh Fl,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",14679,"San Diego, CA"
78,Salt Lake City International,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",14869,"Salt Lake City, UT"
79,Palm Beach International,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",14027,"West Palm Beach/Palm Beach, FL"
80,Truax Field,"MADISON DANE CO REGIONAL AIRPORT, WI US",13485,"Madison, WI"
81,Pittsburgh International,"PITTSBURGH ALLEGHENY CO AIRPORT, PA US",14122,"Pittsburgh, PA"
82,Lihue Airport,"LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US",12982,"Lihue, HI"
83,Northwest Arkansas Regional,"FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT, AR US",15919,"Fayetteville, AR"
84,John F. Kennedy International,"LAGUARDIA AIRPORT, NY US",12478,"New York, NY"
85,Kahului Airport,"HONOLULU INTERNATIONAL AIRPORT, HI US",13830,"Kahului, HI"
86,Chicago O'Hare International,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13930,"Chicago, IL"
87,Palm Springs International,"DESERT RESORTS REGIONAL AIRPORT, CA US",14262,"Palm Springs, CA"
88,Sanford NAS,"TALLAHASSEE REGIONAL AIRPORT, FL US",14761,"Sanford, FL"
89,Cincinnati/Northern Kentucky International,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",11193,"Cincinnati, OH"
90,Boise Air Terminal,"BOISE AIR TERMINAL, ID US",10713,"Boise, ID"
91,Charleston International,"CHARLESTON INTL. AIRPORT, SC US",10994,"Charleston, SC"
92,Kansas City International,"KANSAS CITY INTERNATIONAL AIRPORT, MO US",13198,"Kansas City, MO"
93,Austin - Bergstrom International,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",10423,"Austin, TX"
94,Tulsa International,"OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US",15370,"Tulsa, OK"
95,Miami International,"MIAMI INTERNATIONAL AIRPORT, FL US",13303,"Miami, FL"
96,Myrtle Beach International,"NORTH MYRTLE BEACH, SC US",10693,"Myrtle Beach, SC"
